source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2022,13142,3,33,12,Elisa Pinzan,5,24,Bri McDaniel,LAYUP,2,35.0,68.0,24 Bri McDaniel LAYUP GOOD (4 Pt); 12 Elisa Pinzan Assist (5 Asst)
2022,13142,3,2,12,Elisa Pinzan,6,05,Brinae Alexander,3PTR,3,35.0,71.0,05 Brinae Alexander 3PTR GOOD (11 Pt); 12 Elisa Pinzan Assist (6 Asst)
2022,13142,4,304,00,Shyanne Sellers,2,24,Bri McDaniel,LAYUP,2,43.0,77.0,24 Bri McDaniel LAYUP GOOD (6 Pt); 00 Shyanne Sellers Assist (2 Asst)
2022,13142,4,185,05,Brinae Alexander,3,03,Lavender Briggs,LAYUP,2,45.0,81.0,03 Lavender Briggs LAYUP GOOD (6 Pt); 05 Brinae Alexander Assist (3 Asst)
2022,13142,4,125,00,Shyanne Sellers,3,03,Lavender Briggs,LAYUP,2,47.0,86.0,03 Lavender Briggs LAYUP GOOD (8 Pt); 00 Shyanne Sellers Assist (3 Asst)
2022,13142,4,33,02,Ava Sciolla,1,00,Shyanne Sellers,LAYUP,2,49.0,88.0,00 Shyanne Sellers LAYUP GOOD (18 Pt); 02 Ava Sciolla Assist (1 Asst)
2022,13150,1,446,00,Shyanne Sellers,1,13,Faith Masonius,JUMPER,2,2.0,4.0,13 Faith Masonius JUMPER GOOD (4 Pt); 00 Shyanne Sellers Assist (1 Asst)
2022,13150,1,297,00,Shyanne Sellers,2,12,Elisa Pinzan,3PTR,3,7.0,9.0,12 Elisa Pinzan 3PTR GOOD (3 Pt); 00 Shyanne Sellers Assist (2 Asst)
2022,13150,1,124,00,Shyanne Sellers,3,01,Diamond Miller,LAYUP,2,13.0,15.0,01 Diamond Miller LAYUP GOOD (4 Pt); 00 Shyanne Sellers Assist (3 Asst)
2022,13150,1,81,00,Shyanne Sellers,4,13,Faith Masonius,3PTR,3,16.0,18.0,13 Faith Masonius 3PTR GOOD (7 Pt); 00 Shyanne Sellers Assist (4 Asst)
